compound,formula,mass
7,C10H16,136.23404
8,C15H22O,218.33458
20,C10H16,136.23404
25,C10H16O2,168.23284
26,C10H16O2,168.23284
28,C10H18O,154.24932
31,C10H18O,154.24932
32,C9H19N,141.2539
40,C20H22O6,358.3851
41,C10H16O,152.2334
42,C19H21NO3,311.37498
47,C22H26O8,418.437
53,C10H16,136.23404
74,C10H14N2,162.23164
75,C13H24N2O,224.34254
76,C17H15NO2,265.3065
87,C22H26N4,346.4688
88,C10H20O,156.2652
89,C10H16,136.23404
90,C15H14O6,290.2681
92,C8H15NO,141.2108
98,C10H18O,154.24932
99,C16H12O5,284.2635
100,C16H14O4,270.27996
131174,C47H55ClF3N5O6S3,974.61
108,C20H20O4,324.371
109,C20H20O4,324.3704
131181,C30H58O5,498.78
131182,C7H16ClN5O4,269.686
131183,C7H16N5O4,234.233
131184,C14H16BNO,225.094
131185,C6H14O2,118.174
115,C17H18O4,286.3224
131187,C5H12O3,120.147
131188,C10H12N5O6P,329.206
131190,C19H22O2,282.377
119,C9H13NO2,167.205
131192,C3H6NO4PS,183.124
131193,C10H16BrCl3O2,354.496
131194,C14H8I4O4,747.829
122,C18H16O7,344.3154
131195,C6H13NO5,179.171
131196,C26H19F3N4O,460.451
131197,C8H16O5,192.21
131198,C2H4O2,60.052
128,C10H18O,154.2493
129,C10H16,136.23404
131199,C6H10O3,130.142
149,C10H18O,154.24932
150,C10H18O,154.24932
151,C6H8O7,192.12352
152,C10H18O,154.24932
153,C10H18O,154.24932
154,C10H16O,152.23344
155,C10H16O,152.23344
158,C10H18O,154.24932
160,C6H8O7,192.12352
165,C10H16O,152.2334
166,C10H16O,152.23344
168,C10H16O,152.23344
262350,C7H5NO4,167.1189
211,C10H15O3,183.2243
212,C31H50N7O18P3S,933.75236
227,C10H16O,152.23344
228,C10H16O2,168.23284
232,C10H16O,152.23344
233,C10H16O2,168.23284
131326,C16H20N2,240.35
131327,C20H23ClN3O,356.87
131328,C16H11N3OS2,325.411
131329,C15H26O,222.367
131330,C11H24O2,188.307
131331,C10H15NO5S,261.296
131332,C8H7N2OS,179.22
131333,C7H14O2,130.185
131334,C10H16O2,168.233
131335,C11H18O2,182.26
131336,C11H16O2,180.244
131337,C9H12NO2,166.197
131338,C8H13NO6S,251.258
131339,C12H22O,182.303
131340,C7H14O,114.186
131341,C14H11N3,221.258
131342,C21H40O4,356.541
131343,C17H11NO4,293.274
131344,C11H22O,170.292
131345,C16H15F3N2O4,356.297
131346,C16H18O2,242.314
131347,C16H15F3N2O4,356.297
131348,C15H16O2,228.287
131349,C16H15F3N2O4,356.297
131350,C5H10O4,134.131
131351,C13H8ClN5O,285.689
131353,C7H12O3,144.169
131354,C6H12O3,132.158
131356,C6H11NO3,145.157
131357,C5H12O2,104.148
131358,C19H17N5O2S,379.437
131360,C9H12O2,152.191
131361,H10Na2O8Se,263.014
131362,C2H6O4S,126.133
131363,C10H16O5,216.231
131364,C5H10O5,150.13
131366,B4H24Na2O19,417.403
131367,C4H6O3,102.089
131368,C5H10O2,102.132
131369,C9H16O,140.223
131370,C5H8O2,100.116
299,C10H18O,154.24932
300,C10H18O,154.24932
301,C10H16,136.23404
131371,FeO4P,150.817
131373,C18H22N2O2,298.38
131374,C8H16N2O6,236.223
131372,FeH8O8P,222.878
131375,C10H12O,148.202
131376,C7H15NO,129.2
131377,C17H32O2,268.435
131379,C21H36O4,352.509
131378,FeH22N2O15S2,410.156
