,molecular_formula
C00001,H2O
C00002,C10H16N5O13P3
C00003,C21H28N7O14P2
C00004,C21H29N7O14P2
C00005,C21H30N7O17P3
C00006,C21H29N7O17P3
C00007,O2
C00008,C10H15N5O10P2
C00009,H3PO4
C00010,C21H36N7O16P3S
C00011,CO2
C00012,C2H4NO2R(C2H2NOR)n
C00013,H4P2O7
C00014,NH3
C00015,C9H14N2O12P2
C00016,C27H33N9O15P2
C00017,C2H4NO2R(C2H2NOR)n
C00018,C8H10NO6P
C00019,C15H22N6O5S
C00020,C10H14N5O7P
C00021,C14H20N6O5S
C00022,C3H4O3
C00023,Fe
C00024,C23H38N7O17P3S
C00025,C5H9NO4
C00026,C5H6O5
C00027,H2O2
C00028,
C00029,C15H24N2O17P2
C00030,
C00031,C6H12O6
C00032,C34H32FeN4O4
C00033,C2H4O2
C00034,Mn
C00035,C10H15N5O11P2
C00036,C4H4O5
C00037,C2H5NO2
C00038,Zn
C00039,C10H17O8PR2(C5H8O5PR)n
C00040,C22H35N7O17P3SR
C00041,C3H7NO2
C00042,C4H6O4
C00043,C17H27N3O17P2
C00044,C10H16N5O14P3
C00045,C2H4NO2R
C00046,C10H18O13P2R2(C5H8O6PR)n
C00047,C6H14N2O2
C00048,C2H2O3
C00049,C4H7NO4
C00050,
C00051,C10H17N3O6S
C00052,C15H24N2O17P2
C00053,C10H15N5O13P2S
C00054,C10H15N5O10P2
C00055,C9H14N3O8P
C00058,CH2O2
C00059,H2SO4
C00060,CO2R
C00061,C17H21N4O9P
C00062,C6H14N4O2
C00063,C9H16N3O14P3
C00064,C5H10N2O3
C00065,C3H7NO3
C00066,C10H17O10PR2(C5H8O6PR)n
C00067,CH2O
C00068,C12H19N4O7P2S
C00069,HOR
C00070,Cu
C00071,CHOR
C00072,C6H8O6
C00073,C5H11NO2S
C00074,C3H5O6P
C00075,C9H15N2O15P3
C00076,Ca
C00077,C5H12N2O2
C00078,C11H12N2O2
C00079,C9H11NO2
C00080,H
C00081,C10H15N4O14P3
C00082,C9H11NO3
C00083,C24H38N7O19P3S
C00084,C2H4O
C00085,C6H13O9P
C00086,CH4N2O
C00087,S
C00088,HNO2
C00089,C12H22O11
C00090,C6H6O2
C00091,C25H40N7O19P3S
C00092,C6H13O9P
C00093,C3H9O6P
C00094,H2SO3
C00095,C6H12O6
C00096,C16H25N5O16P2
C00097,C3H7NO2S
C00098,C2H4NO2R(C2H2NOR)n
C00099,C3H7NO2
C00100,C24H40N7O17P3S
C00101,C19H23N7O6
C00102,C12H7Cl2NO2
C00103,C6H13O9P
C00104,C10H14N4O11P2
C00105,C9H13N2O9P
C00106,C4H4N2O2
C00107,C4H6N2O3R2
C00108,C7H7NO2
C00109,C4H6O3
C00110,C20H37O4P(C5H8)n
C00111,C3H7O6P
C00112,C9H15N3O11P2
C00113,C14H6N2O8
C00114,C5H14NO
C00116,C3H8O3
C00117,C5H11O8P
C00118,C3H7O6P
C00119,C5H13O14P3
C00120,C10H16N2O3S
C00121,C5H10O5
C00122,C4H4O4
C00123,C6H13NO2
C00124,C6H12O6
C00125,C42H44FeN8O8S2R4
C00126,C42H44FeN8O8S2R4
C00127,C20H32N6O12S2
C00128,C20H31N4O16P
C00129,C5H12O7P2
