,molecular_weight
C00001,18.010565
C00007,31.989829
C00009,97.976895
C00011,43.989829
C00014,17.026549
C00022,88.016044
C00023,55.934942
C00027,34.005479
C00033,60.021129
C00034,54.93805
C00037,75.032028
C00038,63.929147
C00041,89.047678
C00048,74.000394
C00058,46.005479
C00059,97.967379
C00067,30.010565
C00070,62.929601
C00076,39.962591
C00080,1.007825
C00084,44.026215
C00086,60.032363
C00087,31.972071
C00088,47.000728
C00094,81.972465
C00099,89.047678
C00116,92.047344
C00132,32.026215
C00133,89.047678
C00134,88.100048
C00146,94.041865
C00150,97.905408
C00160,76.016044
C00163,74.036779
C00175,58.9332
C00177,26.003074
C00184,90.031694
C00186,90.031694
C00189,61.052764
C00192,33.021464
C00207,58.041865
C00209,89.995309
C00213,89.047678
C00218,31.042199
C00222,88.016044
C00237,27.994915
C00238,38.963707
C00244,62.995643
C00246,88.05243
C00256,90.031694
C00266,60.021129
C00282,2.01565
C00283,33.987721
C00288,60.992569
C00291,57.935348
C00292,93.057849
C00305,23.985042
C00396,80.037448
C00409,48.003371
C00414,98.073165
C00424,74.036779
C00466,88.05243
C00469,46.041865
C00479,58.041865
C00481,68.037448
C00488,45.021464
C00511,72.021129
C00533,29.997989
C00543,45.057849
C00546,72.021129
C00555,87.068414
C00557,84.057515
C00565,59.073499
C00571,99.104799
C00577,90.031694
C00580,62.019021
C00583,76.05243
C00697,28.006148
C00698,34.968853
C00704,31.989829
C00741,86.036779
C00742,18.998403
C00747,79.042199
C00797,45.057849
C00804,70.005479
C00810,88.05243
C00849,88.05243
C00887,44.001063
C00928,78.013936
C00937,74.036779
C00969,74.036779
C00986,74.084398
C01008,77.042496
C01013,90.031694
C01104,75.068414
C01324,78.918338
C01326,27.010899
C01327,35.976678
C01328,17.00274
C01330,22.98977
C01342,18.034374
C01353,62.000394
C01358,35.037114
C01380,62.036779
C01390,86.073165
C01401,89.047678
C01407,78.04695
C01412,72.057515
C01417,43.005814
C01432,90.031694
C01438,16.0313
C01444,89.011293
C01455,92.0626
C01471,56.026215
C01485,83.961422
C01486,67.966507
C01528,81.932172
C01529,79.916522
C01537,89.047678
C01548,26.01565
C01563,61.016378
C01566,42.021798
C01589,68.037448
C01659,71.037114
C01678,77.02992
C01746,85.089149
C01755,58.98297
C01769,88.05243
C01770,86.036779
C01771,86.036779
C01782,94.041865
C01812,59.013304
C01818,62.011627
C01837,75.032028
C01845,60.057515
C01857,75.998285
C01888,73.052764
C01949,86.073165
C01995,73.052764
C01998,53.026549
C02001,58.041865
C02020,86.073165
C02026,97.063997
C02077,75.043262
C02086,91.9932
C02116,89.047678
C02154,90.031694
C02218,87.032028
C02223,86.073165
C02271,83.953355
C02272,90.050321
C02294,73.063997
C02306,96.99288
C02390,90.042927
C02395,96.057515
C02420,69.057849
C02426,90.031694
C02457,76.05243
C02497,86.036779
C02502,95.037114
C02632,88.05243
C02640,87.104799
C02648,84.021129
C02659,85.052764
C02724,94.065674
C02787,73.089149
C02845,72.057515
C02912,76.05243
C02917,76.05243
C03044,90.06808
C03046,90.06808
C03122,77.039125
C03134,73.052764
C03194,75.068414
C03219,87.068414
C05235,74.036779
C05239,83.048347
C05339,65.987066
C05354,55.054775
C05360,30.021798
C05361,32.037448
C05562,98.048013
C05665,73.052764
C05670,70.053098
C05703,95.947822
C05714,70.053098
C05771,75.068414
C05979,60.057515
C05985,54.010565
C05986,56.026215
C05999,74.036779
C06057,91.063329
C06108,78.011708
C06142,74.073165
C06144,84.021129
C06145,68.026215
C06146,70.041865
C06178,84.081324
C06181,83.073499
C06195,84.032363
C06244,59.037114
C06268,51.940512
C06269,74.921596
C06383,89.058912
C06384,90.042927
C06547,28.0313
C06548,44.026215
C06611,92.002892
C06612,92.002892
C06613,89.987242
C06695,87.032028
C06701,81.98198
C06735,59.037114
C06748,59.073499
C06752,97.969006
C06753,80.002892
C06754,77.987242
C06755,93.982157
C06791,95.953355
C06792,95.953355
C06793,61.992328
C06808,75.032028
C07044,76.027277
C07090,96.021129
C07272,97.016378
C07273,99.032028
C07328,88.088815
C07329,86.073165
C07330,84.057515
C07331,59.966985
C07447,74.048013
C07755,93.922747
C07837,82.053098
C07876,57.990521
C07964,74.016752
C07973,86.084398
C08129,99.947335
C08142,41.988173
C08371,93.991092
C08389,90.013936
C08390,76.034671
C08391,76.034671
C08463,74.01565
C08497,98.073165
C09306,63.9619
C10920,74.036779
C11089,93.937705
C11103,99.032028
C11118,99.068414
C11142,94.00885
C11143,78.013936
C11144,46.041865
C11145,95.988115
C11147,34.021878
C11249,84.0939
C11261,84.043596
C11271,86.10955
C11272,96.037528
C11344,88.088815
C11481,80.96464
C11488,89.047678
C11489,59.037114
C11505,42.04695
C11506,58.041865
C11507,58.041865
C11598,68.998141
C11687,43.042199
C12069,88.016044
C12244,71.073499
C12277,73.968071
C12486,62.017524
C12538,53.003227
C12554,97.977011
C12567,39.979957
C12568,55.966447
