,molecular_formula,mass
C00001,H2O,18.010565
C00002,C10H16N5O13P3,506.995745
C00003,C21H28N7O14P2,664.116947
C00004,C21H29N7O14P2,665.124772
C00005,C21H30N7O17P3,745.091102
C00006,C21H29N7O17P3,744.083277
C00007,O2,31.989828999999997
C00008,C10H15N5O10P2,427.02941500000003
C00009,H3PO4,97.976895
C00010,C21H36N7O16P3S,767.115208
C00011,CO2,43.989829
C00012,C2H4NO2R(C2H2NOR)n,130.102227
C00013,H4P2O7,177.943226
C00014,NH3,17.026549
C00015,C9H14N2O12P2,404.002197
C00016,C27H33N9O15P2,785.157134
C00017,C2H4NO2R(C2H2NOR)n,130.102227
C00018,C8H10NO6P,247.02457400000003
C00019,C15H22N6O5S,398.137239
C00020,C10H14N5O7P,347.063084
C00021,C14H20N6O5S,384.121588
C00022,C3H4O3,88.016044
C00023,Fe,55.93494200000001
C00024,C23H38N7O17P3S,809.1257730000001
C00025,C5H9NO4,147.053158
C00026,C5H6O5,146.021523
C00027,H2O2,34.005479
C00028,,
C00029,C15H24N2O17P2,566.05502
C00030,,
C00031,C6H12O6,180.06338799999997
C00032,C34H32FeN4O4,616.1772980000001
C00033,C2H4O2,60.021129
C00034,Mn,54.93805
C00035,C10H15N5O11P2,443.024329
C00036,C4H4O5,132.005873
C00037,C2H5NO2,75.032028
C00038,Zn,63.929147
C00039,C10H17O8PR2(C5H8O5PR)n,506.273175994
C00040,C22H35N7O17P3SR,794.5371069939999
C00041,C3H7NO2,89.047678
C00042,C4H6O4,118.02660900000001
C00043,C17H27N3O17P2,607.0815690000001
C00044,C10H16N5O14P3,522.9906599999999
C00045,C2H4NO2R,74.058757
C00046,C10H18O13P2R2(C5H8O6PR)n,1222.7527869540002
C00047,C6H14N2O2,146.105528
C00048,C2H2O3,74.000394
C00049,C4H7NO4,133.037508
C00050,,
C00051,C10H17N3O6S,307.083806
C00052,C15H24N2O17P2,566.05502
C00053,C10H15N5O13P2S,506.986229
C00054,C10H15N5O10P2,427.02941500000003
C00055,C9H14N3O8P,323.051851
C00058,CH2O2,46.005479
C00059,H2SO4,97.96737900000001
C00060,CO2R,44.00955
C00061,C17H21N4O9P,456.104615
C00062,C6H14N4O2,174.111676
C00063,C9H16N3O14P3,482.984512
C00064,C5H10N2O3,146.069142
C00065,C3H7NO3,105.042593
C00066,C10H17O10PR2(C5H8O6PR)n,554.2713909940001
