Input	Result	BioCyc Common-Name	BioCyc	Kegg	ChEBI	PubChem	HMDB	ChemSpider	MetaboLights	MetaNetX	BiGG	Seed	Inchi
Kegg:C0520	success	1-alkyl-2-arachidonyl-sn-glycero-3-phosphocholine	1-ALKYL-2-ARACHIDONYL-SN-GLYCERO-3-PCHOL	C05208	28894	 	 	 	 	MNXM32925	 	cpd03097	InChI=1S/C28H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)36-27(25-30)26-35-37(32,33)34-24-23-29(2,3)4/h9-10,12-13,15-16,18-19,27,30H,5-8,11,14,17,20-26H2,1-4H3/b10-9-,13-12-,16-15-,19-18-/t27-/m1/s1
Kegg:C1385	unknown	
Kegg:C0410	success	1-linoleoyl-sn-glycero-3-phosphocholine	CPD-8347	C04100	28733	11005824	HMDB10386	10160888	MTBLC28733	MNXM60749	 	cpd23889	InChI=1S/C26H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h9-10,12-13,25,28H,5-8,11,14-24H2,1-4H3/b10-9-,13-12-/t25-/m1/s1
Kegg:C0512	success	Ntau-methylhistamine	N-METHYL-HISTAMINE	C05127	58600	25245502	HMDB00898	 	MTBLC58600	MNXM2840	 	cpd03051	InChI=1S/C6H11N3/c1-9-4-6(2-3-7)8-5-9/h4-5H,2-3,7H2,1H3/p+1
Kegg:C0582	unknown	
Kegg:C0291	success	1-methylnicotinamide	CPD-396	C02918	16797	457	HMDB00699	444	MTBLC16797	MNXM2172	 	cpd01866	InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1
Kegg:C0403	success	1-palmitoyl-sn-glycerol 3-phosphate	1-PALMITOYLGLYCEROL-3-PHOSPHATE	C04036	57518	46173172	 	 	MTBLC57518	MNXM2455	1hdecg3p	cpd02496	InChI=1S/C19H39O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(21)25-16-18(20)17-26-27(22,23)24/h18,20H,2-17H2,1H3,(H2,22,23,24)/p-2/t18-/m1/s1
Kegg:C0088	success	2'-deoxycytidine	DEOXYCYTIDINE	C00881	15698	13711	HMDB00014	13117	MTBLC15698	MNXM704	dcyt	cpd00654	InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)/t5-,6+,8+/m0/s1
Kegg:C0033	success	2'-deoxyguanosine	DEOXYGUANOSINE	C00330	17172	135398592	HMDB00085	618	MTBLC17172	MNXM647	dgsn	cpd00277	InChI=1S/C10H13N5O4/c11-10-13-8-7(9(18)14-10)12-3-15(8)6-1-4(17)5(2-16)19-6/h3-6,16-17H,1-2H2,(H3,11,13,14,18)/t4-,5+,6+/m0/s1
Kegg:C0551	success	2'-deoxyinosine	DEOXYINOSINE	C05512	28997	135398593	HMDB00071	619	MTBLC28997	MNXM935	din	cpd03279	InChI=1S/C10H12N4O4/c15-2-6-5(16)1-7(18-6)14-4-13-8-9(14)11-3-12-10(8)17/h3-7,15-16H,1-2H2,(H,11,12,17)/t5-,6+,7+/m0/s1
Kegg:C0052	success	2'-deoxyuridine	DEOXYURIDINE	C00526	16450	13712	HMDB00012	13118	MTBLC16450	MNXM492	duri	cpd00412	InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1
Kegg:C0095	success	L-2-aminoadipate	CPD-468	C00956	58672	6992111	HMDB00510	5360261	MTBLC58672	MNXM268	 	cpd00705	InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)/p-1/t4-/m0/s1
Kegg:C1385	success	2-arachidonoylglycerol	CPD-12600	C13856	52392	5282280	HMDB04666	4445451	MTBLC52392	MNXM1167	 	cpd09673	InChI=1S/C23H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23(26)27-22(20-24)21-25/h6-7,9-10,12-13,15-16,22,24-25H,2-5,8,11,14,17-21H2,1H3/b7-6-,10-9-,13-12-,16-15-
Kegg:C0263	success	2-hydroxyglutarate	2-HYDROXYGLUTARIC_ACID	C02630	11596	4609868	HMDB59655	 	 	MNXM1210	 	 	InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)/p-2
Kegg:C0304	success	(S)-2-hydroxystearate	S-2-HYDROXYSTEARATE	C03045	58386	21145041	HMDB62549	20015831	 	MNXM3769	 	cpd01948	InChI=1S/C18H36O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(19)18(20)21/h17,19H,2-16H2,1H3,(H,20,21)/p-1/t17-/m0/s1
Kegg:C0367	success	3-(4-hydroxyphenyl)lactate	4-HYDROXYPHENYLLACTATE	C03672	36659	9548580	HMDB00755	 	 	MNXM114141	 	cpd02305	InChI=1S/C9H10O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,8,10-11H,5H2,(H,12,13)/p-1
Kegg:C0376	success	3-hydroxy-3-methylglutarate	CPD-547	C03761	17325	5459993	HMDB59737	4573695	 	MNXM1710	 	cpd02358	InChI=1S/C6H10O5/c1-6(11,2-4(7)8)3-5(9)10/h11H,2-3H2,1H3,(H,7,8)(H,9,10)/p-2
Kegg:C0108	success	(R)-3-hydroxybutanoate	CPD-335	C01089	10983	6971058	HMDB00357	5341936	MTBLC10983	MNXM663	 	cpd00797	InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1/t3-/m1/s1
Kegg:C0600	success	(S)-3-hydroxy-isobutanoate	CPD-12175	C06001	62638	18637352	HMDB00023	 	 	MNXM114176	 	 	InChI=1S/C4H8O3/c1-3(2-5)4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1/t3-/m0/s1
Kegg:C0067	success	(3S)-3-methyl-2-oxopentanoate	2-KETO-3-METHYL-VALERATE	C00671	35146	6857401	HMDB00491	19951083	MTBLC35146	MNXM439	3mop	cpd00508	InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)/p-1/t4-/m0/s1
Kegg:C0059	unknown	
