"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Gender]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Diet]"	"Term Source REF"	"Term Accession Number"
"A1_Mouse_1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01579-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"A2_Mouse_2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01580-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"A3_Mouse_3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01581-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"A4_Mouse_4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01582-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"A5_Mouse_5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01583-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"A6_Mouse_6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01584-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"B1_Mouse_7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01585-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
"B2_Mouse_8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01586-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
"B3_Mouse_9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01587-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
"B4_Mouse_10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01588-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
"B5_Mouse_11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01589-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
"B6_Mouse_12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01590-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
"C1_Mouse_13"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01591-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"C2_Mouse_14"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01592-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"C3_Mouse_15"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01593-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"C4_Mouse_16"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01594-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"C5_Mouse_17"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01595-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"C6_Mouse_18"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01596-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"D1_Mouse_19"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"prostate gland ventral lobe"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000490"	"FVB"	""	""	"Sample collection"	"DFCI-01597-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
