"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"(15:0)-anacardic acid","2-Hydroxy-6-pentadecylbenzoic acid","HMDB0029683","167551",NA,"C10759",NA,"CCCCCCCCCCCCCCCC1=C(C(=CC=C1)O)C(=O)O","1"
"(15:2)-anacardic acid","Anacardic acid","HMDB0033896","11824131",NA,NA,NA,"CCC/C=C\C/C=C\CCCCCCCC1=C(C(=CC=C1)O)C(=O)O","1"
"1,2,3-benzenetriol sulfate (1)","NA","NA","NA","NA","NA","NA","NA","0"
"1,2,3-benzenetriol sulfate (2)","NA","NA","NA","NA","NA","NA","NA","0"
"1,2-dilinoleoyl-GPC (18:2/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1,2-dilinoleoyl-GPE (18:2/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1,2-dipalmitoyl-GPC (16:0/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1,2-dipalmitoyl-GPE (16:0/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1,3,7-trimethylurate","1,3,7-Trimethyluric acid","HMDB0002123","79437","691622","C16361",NA,"CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C","1"
"1,3-dimethylurate","1,3-Dimethyluric acid","HMDB0001857","70346","149714",NA,"2822","CN1C2=C(C(=O)N(C1=O)C)NC(=O)N2","1"
"1,5-anhydroglucitol (1,5-AG)","NA","NA","NA","NA","NA","NA","NA","0"
"1,7-dimethylurate","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-oleoyl)-GPE (P-18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-GPC (P-16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-GPE (P-16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-GPE (P-18:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-arachidonoyl-GPA (20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-arachidonoyl-GPC (20:4n6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-arachidonoyl-GPE (20:4n6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-arachidonoyl-GPI (20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-arachidonylglycerol (20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-dihomo-linolenylglycerol (20:3)","NA","NA","NA","NA","NA","NA","NA","0"
"1-docosahexaenoylglycerol (22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-hydroxy-2-naphthalenecarboxylate","NA","NA","NA","NA","NA","NA","NA","0"
"1-lignoceroyl-GPC (24:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-linolenoyl-GPC (18:3)","NA","NA","NA","NA","NA","NA","NA","0"
"1-linolenoylglycerol (18:3)","NA","NA","NA","NA","NA","NA","NA","0"
"1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)","NA","NA","NA","NA","NA","NA","NA","0"
"1-linoleoyl-GPA (18:2)","NA","NA","NA","NA","NA","NA","NA","0"
