,,,,,,SAMPLE_NAME,DFCI-01579,DFCI-01580,DFCI-01581,DFCI-01582,DFCI-01583,DFCI-01584,DFCI-01585,DFCI-01586,DFCI-01587,DFCI-01588,DFCI-01589,DFCI-01590,DFCI-01591,DFCI-01592,DFCI-01593,DFCI-01594,DFCI-01595,DFCI-01596,DFCI-01597,DFCI-01598,DFCI-01599,DFCI-01600,DFCI-01601,DFCI-01602
BIOCHEMICAL,PLATFORM,CAS,PUBCHEM,CHEMSPIDER,KEGG,                               Group   HMDB_ID,DFCI-01579,DFCI-01580,DFCI-01581,DFCI-01582,DFCI-01583,DFCI-01584,DFCI-01585,DFCI-01586,DFCI-01587,DFCI-01588,DFCI-01589,DFCI-01590,DFCI-01591,DFCI-01592,DFCI-01593,DFCI-01594,DFCI-01595,DFCI-01596,DFCI-01597,DFCI-01598,DFCI-01599,DFCI-01600,DFCI-01601,DFCI-01602
"1,2-dipalmitoyl-GPC (16:0/16:0)",Method 4,63-89-8,452110,398235,,HMDB00564,"600,461","1,157,497","973,348","794,654","874,099","1,069,185","561,920","860,192","664,149","678,582","602,542","719,582","337,114","515,767","605,759","495,782","634,720","619,504","807,501","623,375","557,627","581,693","585,282","700,481"
"1,5-anhydroglucitol (1,5-AG)",Method 3,154-58-5,64960,,C07326,HMDB02712,"1,452,835","2,602,250","1,629,283","1,948,075","2,047,190","2,495,415","811,553","373,649","886,549","1,119,870","1,122,053","862,499","2,051,011","1,688,526","2,652,722","2,308,012","2,912,108","2,004,882","2,240,807","1,302,058","1,413,632","1,060,125","993,827","1,917,770"
1-(1-enyl-oleoyl)-GPE (P-18:1)*,Method 3,,,,,,"305,334","832,154","926,328","1,305,918","2,892,806","1,320,452","2,069,354","2,719,831","4,287,959","2,977,275","2,271,791","2,385,788","5,990,371","4,818,880","5,897,405","3,838,324","1,707,233","2,992,229","2,424,963","5,956,640","9,131,568","2,434,557","6,733,964","6,300,980"
1-(1-enyl-palmitoyl)-GPC (P-16:0)*,Method 3,,10917802,9093054,,,,,,,,,,"256,695","433,212","58,209",,"171,538","167,966","222,069","509,120","76,855",,,,"268,144","399,942",,,"190,755"
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,Method 3,,,10471193,,,"383,789","760,520","1,096,292","1,554,428","2,539,631","1,391,602","1,849,994","3,610,997","4,309,732","3,498,263","1,998,553","2,468,914","7,050,673","5,690,508","7,841,249","6,752,529","1,971,499","3,755,486","2,246,156","5,277,929","11,186,738","1,906,100","7,366,759","4,794,971"
1-(1-enyl-stearoyl)-GPE (P-18:0)*,Method 3,,,,,,,,,"304,942","473,262","217,844","682,037","983,741","1,519,475","1,199,891","566,619","633,040","812,401","738,795","819,684","1,056,920","172,326","417,386","545,930","1,197,142","1,706,545","557,446","2,118,479","816,323"
1-(3-aminopropyl)-2-pyrrolidone,Method 1,7663-77-6,82111,74106,,,"884,578","5,458,187","3,053,861","2,091,769","6,251,853","2,155,144","1,366,494","1,223,181","961,615","752,266","3,459,690","820,878","2,337,386","2,149,691","4,159,645","1,397,604","2,386,495","6,253,820","4,300,434","1,401,891","1,654,231","1,869,639","2,043,949","3,254,928"
1-arachidonoyl-GPC (20:4)*,Method 3,,,21403155,C05208,HMDB10395,"271,082","407,664","851,726","669,320","1,375,967","942,856","1,101,990","2,244,961","3,270,537","3,190,437","1,565,301","1,974,516","1,950,164","1,563,662","2,732,165","1,073,877","767,222","637,811","1,539,612","1,455,411","3,338,125","729,645","2,709,220","5,805,377"
1-arachidonoyl-GPE (20:4)*,Method 3,,42607465,21403171,,HMDB11517,"999,463","1,362,365","2,320,250","2,279,835","3,387,990","2,085,367","2,386,537","4,031,401","6,844,270","4,940,412","3,532,428","3,972,524","3,480,723","4,339,890","5,347,533","3,216,265","1,617,487","1,762,421","2,890,085","3,088,033","6,657,661","1,387,624","4,798,878","11,061,921"
1-arachidonoyl-GPI (20:4)*,Method 3,,,,,HMDB61690,"130,427","179,389","523,075","272,460","575,776","575,783","428,252","1,030,921","1,125,916","925,578","660,211","774,718","1,342,319","990,937","1,969,566","686,553","839,174","563,296","1,444,548","2,355,637","3,079,402","1,400,404","2,210,026","4,586,243"
1-arachidonylglycerol (20:4),Method 3,35474-99-8,5282281,4445452,C13857,HMDB11572,"707,560","1,415,795","3,025,644","2,240,706","2,757,624","3,166,508","2,119,614","4,785,133","4,956,716","4,542,105","3,809,518","4,862,139","9,355,201","6,671,699","7,690,245","3,311,237","4,092,144","2,606,253","5,723,792","6,046,339","14,891,792","1,819,920","8,202,650","17,276,842"
1-dihomo-linolenylglycerol (20:3),Method 3,,,,,,"317,813","586,840","1,174,866","803,000","573,038","1,064,641","529,319","1,223,449","1,832,294","2,043,138","894,458","1,336,064","3,612,881","2,173,912","4,183,809","2,922,886","1,486,643","1,052,624","2,334,468","4,157,387","11,440,998","603,465","5,605,684","7,036,443"
1-dihomo-linoleoylglycerol (20:2),Method 3,,,21403143,,,,,"107,384",,,,,"745,437","615,632","298,424","174,148","407,896","1,543,579","570,968","1,363,649","212,140","245,497","201,570","1,367,071","1,314,035","4,379,035","401,515","1,277,956","3,614,527"
1-docosahexaenoyl-GPE (22:6)*,Method 4,,,,,,"560,427","1,031,828","668,859","723,040","876,890","881,853","655,400","831,282","789,882","851,514","723,151","828,087","418,461","453,955","567,223","532,181","508,185","515,486","771,779","623,389","631,963","556,533","560,797","751,020"
1-docosahexaenoylglycerol (22:6),Method 3,,,10477810,,HMDB11587,"488,580","1,557,127","2,087,308","1,704,033","3,484,722","2,465,986","2,746,845","3,586,829","5,488,421","4,335,277","2,537,917","4,179,160","13,390,553","6,211,536","11,333,088","4,363,468","5,919,533","3,537,821","8,736,982","10,099,216","20,261,524","2,788,407","11,284,657","19,714,838"
1-linoleoyl-GPC (18:2),Method 3,,11988421,10160888,C04100,HMDB10386,"250,324","305,742","771,709","473,751","813,963","704,749","1,100,387","2,116,832","2,114,992","2,893,235","1,671,240","1,530,059","3,685,394","2,327,238","2,981,836","1,746,597","694,167","794,557","1,792,438","2,506,914","5,669,142","1,096,816","3,575,164","5,851,057"
