ionIdx,ionMz,score,name,synonym,hmdb_id,kegg_id,DMSO,DMSO.1,DMSO.2,DMSO.3,DMSO.4,DMSO.5,DMSO.6,DMSO.7,Dox,Dox.1,Dox.2,Dox.3,Dox.4,Dox.5,Dox.6,Dox.7,Acti,Acti.1,Acti.2,Acti.3,Acti.4,Acti.5,Acti.6,Acti.7,FCCP,FCCP.1,FCCP.2,FCCP.3,FCCP.4,FCCP.5,FCCP.6,FCCP.7,MB,MB.1,MB.2,MB.3,MB.4,MB.5,MB.6,MB.7
1,59.01357938,100,Acetic acid,Acetate; Ethanoate; Ethanoic acid; Ethylate; Ethylic acid; Glacial acetate; Glacial acetic acid; Kyselina octova; Methanecarboxylate; Methanecarboxylic acid; Vinegar; Vinegar acid,HMDB00042,C00033,15.18351908,15.11711547,15.78545247,15.82356627,15.97053285,15.88964655,15.85118782,15.94239996,15.44268437,15.27546981,15.72334097,15.56578636,15.97380946,16.00718061,15.91527253,15.90616249,15.14190756,15.27935667,16.06474276,15.91702237,15.72299426,15.5932744,15.65183653,15.59283658,15.47510009,15.35100822,15.79723088,15.88905234,15.56307708,15.42786933,15.87797904,15.78425143,15.66930032,15.66255712,15.64382801,15.54152016,15.82831007,15.85747079,15.56254057,15.75957615
1,59.01357938,100,Glycolaldehyde,2-Hydroxyacetaldehyde; 2-Hydroxyethanal; 2-OH-acetaldehyde; 2-Oxoethanol; Diose; Glycolaldehyde; Glycolic aldehyde; Glycollaldehyde; Hydroxyacetaldehyde; Hydroxyethanal; Methylol formaldehyde; Methylolformaldehyde; Monomethylolformaldehyde,HMDB03344,C00266,15.18351908,15.11711547,15.78545247,15.82356627,15.97053285,15.88964655,15.85118782,15.94239996,15.44268437,15.27546981,15.72334097,15.56578636,15.97380946,16.00718061,15.91527253,15.90616249,15.14190756,15.27935667,16.06474276,15.91702237,15.72299426,15.5932744,15.65183653,15.59283658,15.47510009,15.35100822,15.79723088,15.88905234,15.56307708,15.42786933,15.87797904,15.78425143,15.66930032,15.66255712,15.64382801,15.54152016,15.82831007,15.85747079,15.56254057,15.75957615
2,59.04978915,100,Propyl alcohol,1-Hydroxypropane; 1-Propanol; 1-Propyl alcohol; Ethylcarbinol; Hydroxypropane; N-Propan-1-ol; N-Propanol; Optal; Propan-1-ol; Propane-1-ol; Propanol; Propanol-1; Propanole; Propanolen; Propyl alcohol; Propylan-propyl alcohol; Propylic alcohol,HMDB00820,C05979,11.91886324,12.35093918,11.99859043,12.1091777,11.98690862,12.12670447,12.57908018,12.50903269,12.11374217,11.96506276,12.09803208,12.09737377,12.24287637,12.5112585,12.30063855,11.84274318,12.03376711,11.46913302,12.37422443,12.0101784,10.64655871,11.0986901,11.79766153,11.37883671,11.74146699,11.88111396,11.31174832,11.84038455,11.09737377,11.79360331,12.11569395,12.01192607,12.15576694,12.42888355,11.60779264,12.42495357,11.92407019,12.14274528,12.22641219,11.57837269
2,59.04978915,100,Isopropyl alcohol,2-Propanol; 2-Propyl alcohol; Alcojel; Alkolave; Avantin; Avantine; Hartosol; Isopropanol; Isopropyl alcohol; Lavaco; Petrohol; Takineocol,HMDB00863,C01845,11.91886324,12.35093918,11.99859043,12.1091777,11.98690862,12.12670447,12.57908018,12.50903269,12.11374217,11.96506276,12.09803208,12.09737377,12.24287637,12.5112585,12.30063855,11.84274318,12.03376711,11.46913302,12.37422443,12.0101784,10.64655871,11.0986901,11.79766153,11.37883671,11.74146699,11.88111396,11.31174832,11.84038455,11.09737377,11.79360331,12.11569395,12.01192607,12.15576694,12.42888355,11.60779264,12.42495357,11.92407019,12.14274528,12.22641219,11.57837269
3,67.01874472,100,3-Butyn-1-al,,HMDB06853,C06145,12.30063855,12.17336483,12.46352437,12.28511319,12.36632221,12.24495839,12.93442804,12.40620501,11.40301202,11.55794229,11.203348,10.97441459,12.02063276,12.34040649,12.03101191,11.50233458,11.88149638,11.88493365,12.29462075,11.79603961,12.31684718,11.44811631,11.83091128,10.57364719,10.43775207,9.914385132,9.936637939,10.90388185,11.24019505,10.14593215,10.11504365,10.51569984,12.2708793,12.41626974,12.07614753,11.94617524,11.93590168,12.01367161,12.13635034,12.18518517
3,67.01874472,100,Furan,"1,4-Epoxy-1,3-butadiene; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside; Divinylene oxide; Furan; Furane; Furfuran; Furfurane; Nitrofurantoin; Oxacyclopentadiene; Oxole; Tetrole",HMDB13785,C00089,12.30063855,12.17336483,12.46352437,12.28511319,12.36632221,12.24495839,12.93442804,12.40620501,11.40301202,11.55794229,11.203348,10.97441459,12.02063276,12.34040649,12.03101191,11.50233458,11.88149638,11.88493365,12.29462075,11.79603961,12.31684718,11.44811631,11.83091128,10.57364719,10.43775207,9.914385132,9.936637939,10.90388185,11.24019505,10.14593215,10.11504365,10.51569984,12.2708793,12.41626974,12.07614753,11.94617524,11.93590168,12.01367161,12.13635034,12.18518517
4,69.03431748,100,(E)-2-Butenal,"(2E)-2-Butenal; (2E)-but-2-enal; (2Z)-2-Butenal; (E)-2-Butenal; (E)-2-butenal; (E)-but-2-enal; (Z)-2-Butenal; (cis)-crotonaldehyde; (e)-Crotonaldehyde; (e)-crotonaldehyde; (e)-crotonaldehyde (iupac); (z)-crotonaldehyde; 1-Formylpropene; 2-BUTENAL (TRANS) CROTONALDEHYDE; 2-Butenal; 2-Butenal, inhibited; 2-Butenal, mixture of cis and trans; 2-Butenaldehyde; 3-Methylacrolein, inhibited; Aldehyde crotonique; But-(E)-2-enal; But-2-enal; CRD; Cis-crotonaldehyde; Crotenaldehyde; Crotonal; Crotonaldehyde; Crotonaldehyde, inhibited; Crotonaldehyde, mixture of cis and trans; Crotonaldehyde, predominantly trans; Crotonaldehyde, stabilized [UN1143] [Poison]; Crotonic aldehyde; Crotylaldehyde; E-2-Butenal; Krotonaldehyd; Methylpropenal; Nchem.215-comp8; Topanel; Topanel ca; Trans- crotonal; Trans-crotonaldehyde; beta-Methyl acrolein; beta-Methylacrolein; cis-Crotonaldehyde; t-2-Butenal; trans-2-Butenal",HMDB34233,,11.70347105,11.89784546,12.2366122,12.69544581,12.17710804,12.04984855,12.09077405,12.23959853,11.85252951,11.8273427,11.60362634,12.20579325,11.98477446,12.18580462,12.45763738,11.82456103,11.65642486,11.83368075,12.59175608,12.51594618,11.98903964,12.06137119,12.46377979,12.06373212,12.17804233,11.88302507,12.29806257,12.25797706,12.0970445,11.89557528,12.37041497,11.994707,12.19167615,12.01087772,11.98619759,12.19567979,11.87190524,12.55170826,12.35892587,12.17741954
5,70.02970722,100,Acrylamide,2-Propenamide; 2-Propeneamide; Acrylagel; Acrylic acid amide; Acrylic amide; Aerofloc 3453; Akrylamid; American Cyanamid P-250; American cyanamid kpam; Amid kyseliny akrylove; Amide propenoate; Amide propenoic acid; Aminogen pa; Amresco Acryl-40; Bio-Gel P 2; BioGel P-100; Cyanamer P 250; Cyanamer P 35; Cytame 5; Dow ET 597; Ethylene carboxamide; Ethylenecarboxamide; Flokonit e; Flygtol GB; Gelamide 250; Himoloc SS 200; K-Pam; Magnafloc R 292; Nacolyte 673; Optimum; Polyacrylamide; Polyacrylamide resin; Polyacrylamide solution; Polyhall 27; Polyhall 402; Polystolon; Polystoron; Porisutoron; Praestol 2800; Prop-2-enamide; Propenamide; Propeneamide; Propenoate; Propenoic acid; Propenoic acid amide; Reten 420; Sanpoly A 520; Solvitose 433; Stipix ad; Stokopol D 2624; Sumirez A 17; Sumirez A 27; Sumitex A 1; Superfloc 84; Superfloc 900; Sursolan P 5; Versicol W 11; Vinyl amide,HMDB04296,C01659,15.84901407,15.94196459,15.9900818,16.04268537,16.00255134,15.92100408,15.74217784,15.78356101,16.01878698,16.20154963,16.23165245,16.24510699,15.91496901,16.02377601,16.02097994,15.97436977,16.19506456,16.13839181,16.12442427,16.14545456,15.95676183,16.11254132,15.92307209,15.92307209,16.28527578,16.28677432,16.00770622,16.00496656,15.83469324,15.86174121,15.91739539,15.86321835,16.3579643,16.28312454,16.24056776,16.15537167,16.11938698,16.15384887,15.9260643,16.13183687
6,71.01359767,100,Pyruvaldehyde,"1,2-Propanedione; 1-Ketopropionaldehyde; 2-Keto Propionaldehyde; 2-Ketopropionaldehyde; 2-Oxo-Propionaldehyde; 2-Oxopropanal; Acetylformaldehyde; Acetylformyl; Ketopropionaldehyde; Methylglyoxal; Propanedione; Propanolone; Pyroracemic aldehyde; Pyruvaldehyde; Pyruvic aldehyde; alpha-Ketopropionaldehyde",HMDB01167,C00546,15.88259529,15.82296909,16.13422575,16.01872179,15.98841842,15.87387663,15.8741649,15.94530666,16.04584496,15.83498945,15.83224722,15.81548337,16.30288878,16.17708857,16.17389181,16.14138872,15.1590435,15.00680818,15.17137229,14.96312186,15.09502608,15.0454184,14.88221316,14.91508575,14.59938986,14.37238898,14.58273004,14.5231331,14.35995541,14.42881814,14.55404918,14.54677391,15.32537573,15.34089324,15.52061868,15.44682484,15.51603855,15.4409989,15.65639693,15.4602319
6,71.01359767,100,Malondialdehyde,"1,3-Propanedial; 1,3-Propanedialdehyde; 1,3-Propanedione; MDD; Malonaldehyde; Malonic aldehyde; Malonic dialdehyde; Malonodialdehyde; Malonyldialdehyde; Propanedial",HMDB06112,C19440,15.88259529,15.82296909,16.13422575,16.01872179,15.98841842,15.87387663,15.8741649,15.94530666,16.04584496,15.83498945,15.83224722,15.81548337,16.30288878,16.17708857,16.17389181,16.14138872,15.1590435,15.00680818,15.17137229,14.96312186,15.09502608,15.0454184,14.88221316,14.91508575,14.59938986,14.37238898,14.58273004,14.5231331,14.35995541,14.42881814,14.55404918,14.54677391,15.32537573,15.34089324,15.52061868,15.44682484,15.51603855,15.4409989,15.65639693,15.4602319
