Input	Result	BioCyc Common-Name	BioCyc	Kegg	ChEBI	PubChem	HMDB	ChemSpider	MetaboLights	MetaNetX	BiGG	Seed	Inchi
Kegg:C00024	success	acetyl-CoA	ACETYL-COA	C00024	57288	45266541	HMDB01206	 	MTBLC57288	MNXM21	accoa	cpd00022	InChI=1S/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/p-4/t13-,16-,17-,18+,22-/m1/s1
Kegg:C01996	success	acetylcholine	ACETYLCHOLINE	C01996	15355	187	HMDB00895	182	MTBLC15355	MNXM793	 	cpd01367	InChI=1S/C7H16NO2/c1-7(9)10-6-5-8(2,3)4/h5-6H2,1-4H3/q+1
Kegg:C00147	success	adenine	ADENINE	C00147	16708	190	HMDB00034	185	MTBLC16708	 	ade	 	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)
Kegg:C00212	success	adenosine	ADENOSINE	C00212	16335	60961	HMDB00050	18660726	MTBLC16335	MNXM212	adn	cpd00182	InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1
Kegg:C06104	success	adipate	ADIPATE	C06104	17128	200164	HMDB00448	173250	 	MNXM2800	 	cpd03642	InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)/p-2
Kegg:C03626	success	N6,N6-dimethyl-L-arginine	CPD-596	C03626	58326	25203330	HMDB01539	 	 	MNXM4046	 	cpd02279	InChI=1S/C8H18N4O2/c1-12(2)8(10)11-5-3-4-6(9)7(13)14/h6H,3-5,9H2,1-2H3,(H2,10,11)(H,13,14)/p+1/t6-/m0/s1
Kegg:C00008	success	ADP	ADP	C00008	456216	7058055	HMDB01341	5414423	MTBLC456216	MNXM7	adp	cpd00008	InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/p-3/t4-,6-,7-,10-/m1/s1
Kegg:C00179	success	agmatine	AGMATHINE	C00179	58145	5257176	HMDB01432	4422891	MTBLC58145	MNXM328	agm	cpd00152	InChI=1S/C5H14N4/c6-3-1-2-4-9-5(7)8/h1-4,6H2,(H4,7,8,9)/p+2
Kegg:C04677	success	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	AICAR	C04677	58475	45266657	HMDB01517	 	MTBLC58475	MNXM365	aicar	cpd02851	InChI=1S/C9H15N4O8P/c10-7-4(8(11)16)12-2-13(7)9-6(15)5(14)3(21-9)1-20-22(17,18)19/h2-3,5-6,9,14-15H,1,10H2,(H2,11,16)(H2,17,18,19)/p-2/t3-,5-,6-,9-/m1/s1
Kegg:C00041	success	L-alanine	L-ALPHA-ALANINE	C00041	57972	7311724	HMDB00161	 	MTBLC57972	 	ala__L	 	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1
Kegg:C00993	success	D-alanyl-D-alanine	D-ALA-D-ALA	C00993	57822	6992112	HMDB03459	 	 	MNXM669	alaala	cpd00731	InChI=1S/C6H12N2O3/c1-3(7)5(9)8-4(2)6(10)11/h3-4H,7H2,1-2H3,(H,8,9)(H,10,11)/t3-,4-/m1/s1
Kegg:C01551	success	allantoin	ALLANTOIN	C01551	15676	204	HMDB00462	199	 	MNXM612	 	cpd01092	InChI=1S/C4H6N4O3/c5-3(10)6-1-2(9)8-4(11)7-1/h1H,(H3,5,6,10)(H2,7,8,9,11)
Kegg:C00956	success	L-2-aminoadipate	CPD-468	C00956	58672	6992111	HMDB00510	5360261	MTBLC58672	MNXM268	 	cpd00705	InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)/p-1/t4-/m0/s1
Kegg:C02115	success	2-methyl-L-serine	2-METHYL-L-SERINE	C02115	149759	7000049	 	388727	MTBLC74819	MNXM480607	 	cpd21883	InChI=1S/C4H9NO3/c1-4(5,2-6)3(7)8/h6H,2,5H2,1H3,(H,7,8)/t4-/m0/s1
Kegg:C00020	success	AMP	AMP	C00020	456215	15938965	HMDB00045	10239183	MTBLC456215	 	amp	 	InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/p-2/t4-,6-,7-,10-/m1/s1
Kegg:C01262	success	anserine	CPD-401	C01262	58445	6992114	HMDB00194	 	MTBLC18323	MNXM2639	 	cpd00926	InChI=1S/C10H16N4O3/c1-14-6-12-5-7(14)4-8(10(16)17)13-9(15)2-3-11/h5-6,8H,2-4,11H2,1H3,(H,13,15)(H,16,17)/t8-/m0/s1
Kegg:C00062	success	L-arginine	ARG	C00062	32682	1549073	HMDB00517	1266045	MTBLC32682	MNXM70	arg__L	 	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/p+1/t4-/m0/s1
Kegg:C03406	success	L-arginino-succinate	L-ARGININO-SUCCINATE	C03406	57472	46878376	HMDB00052	 	MTBLC57472	MNXM722743	argsuc	 	InChI=1S/C10H18N4O6/c11-5(8(17)18)2-1-3-13-10(12)14-6(9(19)20)4-7(15)16/h5-6H,1-4,11H2,(H,15,16)(H,17,18)(H,19,20)(H3,12,13,14)/p-1/t5-,6?/m0/s1
Kegg:C00152	success	L-asparagine	ASN	C00152	58048	6992089	HMDB00168	 	MTBLC58048	MNXM147	asn__L	 	InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1
Kegg:C00049	success	L-aspartate	L-ASPARTATE	C00049	29991	5460294	HMDB00191	4573879	MTBLC29991	MNXM42	asp__L	 	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/p-1/t2-/m0/s1
Kegg:C08261	success	azelate	CPD0-1265	C08261	78208	3801344	HMDB00784	3028648	MTBLC48131	MNXM43148	 	cpd05177	InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)/p-2
Kegg:C09815	success	benzamide	CPD-17683	C09815	28179	2331	HMDB04461	 	 	MNXM5065	 	cpd06707	InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)
Kegg:C00099	success	beta-alanine	B-ALANINE	C00099	57966	4755801	HMDB00056	 	MTBLC57966	MNXM144	ala_B	cpd00085	InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)
Kegg:C05341	unknown	
Kegg:C05568	success	3-(imidazol-5-yl)lactate	IMIDAZOLE-LACTATE	C05568	24773	6857593	HMDB02320	5256929	 	MNXM57189	 	cpd03300	InChI=1S/C6H8N2O3/c9-5(6(10)11)1-4-2-7-3-8-4/h2-3,5,9H,1H2,(H,7,8)(H,10,11)/p-1
Kegg:C00719	success	glycine betaine	BETAINE	C00719	17750	247	HMDB00043	242	MTBLC17750	MNXM289	glyb	cpd00540	InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3
Kegg:C00576	success	betaine aldehyde	BETAINE_ALDEHYDE	C00576	15710	249	HMDB01252	244	MTBLC15710	MNXM457	betald	cpd00447	InChI=1S/C5H12NO/c1-6(2,3)4-5-7/h5H,4H2,1-3H3/q+1
